"","mother_id","unique_m","unique_mm","Speed_m","Speed_mm","Temp_m","Temp_mm","Condition_m","Condition_mm","Sex_m","Sex_mm","mom_c"
"45","H86","H86_2HHfemales","H86_1HCfemales",0.181640916,0.003229696,16,16,"HH","HC","F","F","H"
"46","H87","H87_1HHfemales","H87_1HCmales",0.008351147,0.036197787,16,16,"HH","HC","F","M","H"
"47","H89","H89_2HHfemales","H89_1HCfemales",0.209803318,0.011250443,16,16,"HH","HC","F","F","H"
"48","H94","H94_1HHfemales","H94_1HCfemales",0.004563233,0.01303057,16,16,"HH","HC","F","F","H"
"49","H97","H97_5HHfemales","H97_1HCfemales",0.946988071,0.000325764,16,16,"HH","HC","F","F","H"
"50","C10","C10_1CCfemales","C10_1CHfemales",0.182188902,0.034699321,18,18,"CC","CH","F","F","C"
"51","C111","C111_1CCfemales","C111_2CHfemales",0,0.198182324,18,18,"CC","CH","F","F","C"
"52","C112","C112_1CCfemales","C112_1CHfemales",0.312172586,0.036041349,18,18,"CC","CH","F","F","C"
"53","C126","C126_1CCfemales","C126_1CHfemales",0.263613845,0,18,18,"CC","CH","F","F","C"
"54","C132","C132_1CCfemales","C132_1CHfemales",0.043304078,0.047740583,18,18,"CC","CH","F","F","C"
"55","C134","C134_1CCfemales","C134_1CHfemales",0.010267275,0.030467869,18,18,"CC","CH","F","F","C"
"56","C14","C14_1CCfemales","C14_1CHfemales",0.16094037,0.101349189,18,18,"CC","CH","F","F","C"
"57","C145","C145_1CCfemales","C145_3CHfemales",0.01738193,0.00283804,18,18,"CC","CH","F","F","C"
"58","C149","C149_1CCfemales","C149_4CHfemales",0.000162973,0.034193946,18,18,"CC","CH","F","F","C"
"59","C151","C151_1CCfemales","C151_1CHfemales",0.57545462,0,18,18,"CC","CH","F","F","C"
"60","C153","C153_1CCfemales","C153_1CHfemales",0.004234935,0.003461969,18,18,"CC","CH","F","F","C"
"61","C156","C156_1CCfemales","C156_1CHfemales",0,0.023020705,18,18,"CC","CH","F","F","C"
"62","C16","C16_1CCfemales","C16_2CHfemales",0.040800583,0.077633286,18,18,"CC","CH","F","F","C"
"63","C165","C165_1CCfemales","C165_1CHfemales",0.258642849,0.017247136,18,18,"CC","CH","F","F","C"
"64","C179","C179_1CCfemales","C179_5CHfemales",0.037768416,0.075318582,18,18,"CC","CH","F","F","C"
"65","C182","C182_1CCfemales","C182_7CHfemales",0.093918048,0.027471188,18,18,"CC","CH","F","F","C"
"66","C184","C184_1CCfemales","C184_1CHfemales",0.009396489,0.002609011,18,18,"CC","CH","F","F","C"
"67","C199","C199_1CCfemales","C199_1CHfemales",0.023491803,0.140716845,18,18,"CC","CH","F","F","C"
"68","C21","C21_1CCfemales","C21_5CHfemales",0.012616397,0.013470804,18,18,"CC","CH","F","F","C"
"69","C32","C32_1CCfemales","C32_3CHfemales",0,0.007170795,18,18,"CC","CH","F","F","C"
"70","C44","C44_1CCfemales","C44_8CHfemales",0.014476602,0.026710853,18,18,"CC","CH","F","F","C"
"71","C51","C51_1CCfemales","C51_1CHfemales",0.009734016,0.001466754,18,18,"CC","CH","F","F","C"
"72","C71","C71_1CCfemales","C71_1CHfemales",0.009817901,0.338817888,18,18,"CC","CH","F","F","C"
