"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"NL_CS_1",28,"trial","M","right","pole",0.23,0.17,0.07,50.5,9.33,0.17,1,1,1,49.3435125239537,2.85773238555717,0,0
"NL_CS_1",30,"trial","M","left","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NL_CS_1",32,"trial","M","left","pole",0.07,0.73,17,53.9,5.37,0.73,1,1,1,64.0974762479565,0.843683874797602,1,0
"NL_CS_1",34,"trial","M","right","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NL_CS_1",36,"trial","M","right","pole",0.17,0.8,5.17,51.33,7.87,0.8,1,1,1,30.0729928037253,0.362849816647265,1,0
"NL_CS_1",38,"trial","M","right","pole",1.07,2.07,8.37,50.7,7.23,2.07,1,1,0,38.4268420247841,0.179475224303077,1,0
"NL_CS_1",40,"trial","M","left","pole",1.17,1.8,49.9,49.9,0,10.1,1,0,1,17.5321696024595,0.0167553897343739,1,0
"NL_CS_1",42,"trial","M","right","pole",1.43,2.83,52.87,52.87,0,7.13,1,0,1,22.599009945741,0.0305799759306206,1,0
"NL_CS_1",44,"trial","M","left","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NL_CS_1",46,"trial","M","right","pole",1.83,5.4,54.6,54.6,0,5.4,1,1,0,18.6357269561191,0.0333113952454582,0,0
"NL_CS_1",48,"trial","M","right","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NL_CS_1",50,"trial","M","left","pole",0.47,1.17,53.57,53.57,0,6.43,1,0,1,18.1286190795655,0.0272000006195093,1,0
"NL_CS_1",52,"trial","M","right","pole",1.57,3.67,48.4,48.4,0,11.6,1,0,1,34.4272526324193,0.028647361064122,1,0
"NL_CS_1",54,"trial","M","left","pole",1.97,3.33,49.33,49.33,0,10.67,1,0,0,25.0465802533983,0.0226652210304642,1,0
"NL_CS_1",56,"trial","M","right","pole",0.8,1.6,52.2,52.2,0,7.8,1,0,1,22.7722626101877,0.0281807031608104,1,0
"NL_CS_1",58,"trial","M","right","pole",0.63,1.6,26.2,57.87,0.53,1.6,1,1,1,24.9607280771557,0.150583542936509,1,0
"NL_CS_1",60,"trial","M","left","pole",0.7,2.2,48.13,48.13,0,7.57,1,0,1,17.3748745570114,0.0221644684192991,1,0
"NL_CS_10",2,"trial","M","right","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NL_CS_10",4,"trial","M","right","pole",4.4,4.3,55.7,55.7,0,4.3,1,1,1,5.31676416551905,0.0119349110297186,1,0
"NL_CS_10",6,"trial","M","right","pole",2.03,4.4,55.6,55.6,0,4.4,1,1,1,9.92494326545139,0.0217728660614501,1,0
"NL_CS_10",8,"trial","M","left","pole",2.5,2.17,13.07,53.5,0.07,6.43,1,0,1,26.2495633855379,0.0393845850704252,1,0
"NL_CS_10",10,"trial","M","right","pole",3.33,6.43,53.57,53.57,0,6.43,1,1,1,18.4627473279726,0.0277013233360263,0,0
"NL_CS_10",12,"trial","M","right","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NL_CS_10",14,"trial","M","left","pole",4.63,5.07,26.77,52.3,2.63,5.07,1,1,1,42.191299395495,0.0803786693421591,0,0
"NL_CS_10",16,"trial","M","right","pole",2.17,2.87,57.13,57.13,0,2.87,1,1,1,11.3729744587002,0.0382945624675638,0,0
"NL_CS_10",18,"trial","M","right","pole",2.53,3.13,56.87,56.87,0,3.13,1,1,1,8.69245204204841,0.0267778650765477,1,0
